;linha_identificada;distancia_identificada;linha_faltosa;distancia real;tipo_de_falta;r_f;erro
0;l1;78,63839913618979;l1;78,6384;.1.0;r_0_00001;-1,5024243298248986e-09
1;l1;78,63839697816788;l1;78,6384;.2.0;r_0_00001;-5,255869905792417e-09
2;l1;78,63839588014987;l1;78,6384;.3.0;r_0_00001;-7,165651632853979e-09
3;l1;78,63839957395912;l1;78,6384;.1.2;r_0_00001;-7,410125273179134e-10
4;l1;78,63839904216695;l1;78,6384;.2.3;r_0_00001;-1,6659581666291336e-09
5;l1;78,63840023448228;l1;78,6384;.1.3;r_0_00001;4,0783480467851034e-10
6;l1;78,63840090498289;l1;78,6384;.1.2.0;r_0_00001;1,5740359157238345e-09
7;l1;78,63839787050009;l1;78,6384;.2.3.0;r_0_00001;-3,7038372949416424e-09
8;l1;78,63840015583258;l1;78,6384;.1.3.0;r_0_00001;2,710394674399093e-10
9;l1;78,63839943774607;l1;78,6384;.1.2.3.0;r_0_00001;-9,779277561333652e-10
10;l1;157,27679750295815;l1;157,2768;.1.0;r_0_00001;-4,343102667087491e-09
11;l1;157,2767924789757;l1;157,2768;.2.0;r_0_00001;-1,3081310833443353e-08
12;l1;157,27679156149176;l1;157,2768;.3.0;r_0_00001;-1,4677089809517585e-08
13;l1;157,27679562717887;l1;157,2768;.1.2;r_0_00001;-7,605643876137778e-09
14;l1;157,27679622035862;l1;157,2768;.2.3;r_0_00001;-6,573926871936418e-09
15;l1;157,27679862482975;l1;157,2768;.1.3;r_0_00001;-2,3918323919182175e-09
16;l1;157,2767982152938;l1;157,2768;.1.2.0;r_0_00001;-3,10413788946645e-09
17;l1;157,27679391431758;l1;157,2768;.2.3.0;r_0_00001;-1,0584821980479768e-08
18;l1;157,27679847629926;l1;157,2768;.1.3.0;r_0_00001;-2,6501713383893374e-09
19;l1;157,2767955221522;l1;157,2768;.1.2.3.0;r_0_00001;-7,788316647314759e-09
20;l1;235,9151940189236;l1;235,91520000000003;.1.0;r_0_00001;-1,0402880879771004e-08
21;l1;235,9151848333883;l1;235,91520000000003;.2.0;r_0_00001;-2,63792741321e-08
22;l1;235,91518620433743;l1;235,91520000000003;.3.0;r_0_00001;-2,399478355726162e-08
23;l1;235,9151846435448;l1;235,91520000000003;.1.2;r_0_00001;-2,6709468793556427e-08
24;l1;235,915189572711;l1;235,91520000000003;.2.3;r_0_00001;-1,8136174434747012e-08
